"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Lateral Raise (Cable)",2,"",0,"normal",11,9,,,
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Lateral Raise (Cable)",2,"",1,"normal",11,10,,,
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Lateral Raise (Cable)",2,"",2,"normal",11,9,,,
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Lateral Raise (Cable)",2,"",3,"normal",11,11,,,
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Lateral Raise (Cable)",2,"",4,"normal",10,9,,,
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Lateral Raise (Cable)",2,"",5,"normal",10,8,,,
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Face Pull",2,"",0,"normal",38,10,,,
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Face Pull",2,"",1,"normal",50,10,,,
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Face Pull",2,"",2,"normal",50,10,,,
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Bench Press (Dumbbell)",1,"",0,"normal",70,10,,,
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Bench Press (Dumbbell)",1,"",1,"normal",100,10,,,
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Bench Press (Dumbbell)",1,"",2,"normal",100,10,,,
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Bench Press (Dumbbell)",1,"",3,"normal",100,10,,,
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Dumbbell Row",1,"",0,"normal",50,10,,,
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Dumbbell Row",1,"",1,"normal",50,10,,,
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Dumbbell Row",1,"",2,"normal",50,10,,,
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Dumbbell Row",1,"",3,"normal",50,10,,,
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Dumbbell Row",1,"",4,"normal",50,10,,,
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Dumbbell Row",1,"",5,"normal",50,10,,,
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Pull Up (Assisted)",0,"",0,"normal",60,3,,,
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Pull Up (Assisted)",0,"",1,"normal",80,5,,,
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Pull Up (Assisted)",0,"",2,"normal",100,5,,,
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Pull Up (Assisted)",0,"",3,"normal",120,5,,,
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Pull Up (Assisted)",0,"",4,"normal",140,5,,,
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Chest Dip (Assisted)",0,"",0,"normal",60,3,,,
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Chest Dip (Assisted)",0,"",1,"normal",80,4,,,
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Chest Dip (Assisted)",0,"",2,"normal",100,5,,,
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Chest Dip (Assisted)",0,"",3,"normal",120,5,,,
"Compound Upper","9 Jul 2025, 06:42","9 Jul 2025, 07:46","","Chest Dip (Assisted)",0,"",4,"normal",140,5,,,
