Workout,Exercise,Superset,Sets,Reps,Time,Weight (lbs),Height,Notes,Routine,Date,Week Number,Tempo
Thursday,Sled,Sled,1,3,,270,,30 yards,Pro,2025-12-18,0 weeks ago,
Thursday,Sled Backpeddle Pull,Sled,1,3,,270,,30 yards,Pro,2025-12-18,0 weeks ago,
Monday,Sled,Sled,1,3,,285,,,Pro,2025-12-15,0 weeks ago,
Monday,Pullups,,5,"[6,5,5,5,5]",,"[160,140,120,100,80]",,Ran the rack,Pro,2025-12-15,0 weeks ago,20X1
Monday,ATG Split Squat,,3,10,2,10,,,Pro,2025-12-15,0 weeks ago,2010
Monday,L-Sit,,1,,20,20,,,Pro,2025-12-15,0 weeks ago,Hold
Monday,Back Extensions,,2,15,,15,,,Pro,2025-12-15,0 weeks ago,2010
Monday,Dip,,4,"[6,5,5,5]",,"[140,120,100,80]",,Ran the rack,Pro,2025-12-15,0 weeks ago,20X1
Monday,Calf Stretch,Mobility,1,,60,,,,Pro,2025-12-15,0 weeks ago,Hold
Monday,Elephant Walk,Mobility,1,20,,,,,Pro,2025-12-15,0 weeks ago,2010
Monday,Piriformis Push Up,Mobility,1,20,,,,,Pro,2025-12-15,0 weeks ago,2010
Monday,Standing Pancake,Mobility,1,,30,,,,Pro,2025-12-15,0 weeks ago,2010
Monday,Couch Stretch,Mobility,1,,60,,,,Pro,2025-12-15,0 weeks ago,Hold
Monday,Straight Leg Calf Raise,Mobility,1,20,,15,,,Pro,2025-12-15,0 weeks ago,2010
Monday,Tibialis Raise,Lower Leg,1,16,,35,,,Pro,2025-12-15,0 weeks ago,2010
Monday,ATG Split Squat,,3,10,,10,6 inch,,Pro,2025-12-15,0 weeks ago,2010
Monday,L-Sit,,1,,20,,,,Pro,2025-12-15,0 weeks ago,Hold
Monday,Couch Stretch,Mobility,1,,60,,,,Pro,2025-12-15,0 weeks ago,Hold
Monday,Straight Leg Calf Raise,Mobility,1,20,,15,,,Pro,2025-12-15,0 weeks ago,2010
Monday,Tibialis Raise,Lower Leg,1,16,,35,,,Pro,2025-12-15,0 weeks ago,2010
Tuesday,Sled,Sled,1,3,,270,,30 yards,Pro,2025-12-09,1 weeks ago,
Tuesday,Sled Backpeddle Pull,Sled,1,3,,270,,30 yards,Pro,2025-12-09,1 weeks ago,
Tuesday,Calf Stretch,Mobility,1,,60,,,,Pro,2025-12-09,1 weeks ago,Hold
Tuesday,Elephant Walk,Mobility,1,20,,,,,Pro,2025-12-09,1 weeks ago,2010
Tuesday,Piriformis Push Up,Mobility,1,20,,,,,Pro,2025-12-09,1 weeks ago,2010
Tuesday,Standing Pancake,Mobility,1,,30,,,,Pro,2025-12-09,1 weeks ago,2010
